faprotax_genus;faprotax_species;faprotax_strain;faprotax_speciesStrain;faprotax_metabolism;faprotax_ref
Ralstonia;Ralstonia eutropha;;Ralstonia eutropha ;knallgas_bacteria|nitrate_respiration|dark_hydrogen_oxidation|nitrate_reduction |nitrogen_respiration;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C
Ralstonia;Ralstonia paucula;;Ralstonia paucula ;ureolysis;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Ralstonia;Ralstonia pickettii;;Ralstonia pickettii ;aromatic_hydrocarbon_degradation|ureolysis|aromatic_compound_degradation|hydrocarbon_degradation|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;DOI:10.1128/JB.186.10.3117-3123.2004| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Ralstonia;Ralstonia solanacearum;;Ralstonia solanacearum ;plant_pathogen|plant_pathogen;DOI:10.1038/415497a| Kelman (1954) - The relationship of pathogenicity of Pseudomonas solanacearum to colony appearance in a tetrazolium medium
Ralstonia;Ralstonia solanacearum;;Ralstonia solanacearum ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 173
Ralstonia;Ralstonia syzygii;;Ralstonia syzygii ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 3445
Raoultella;Raoultella ornithinolytica;;Raoultella ornithinolytica ;ligninolysis|chemoheterotrophy;DOI:10.1128/genomeA.00104-15
Rathayibacter;Rathayibacter iranicus;;Rathayibacter iranicus ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 2253
Rathayibacter;Rathayibacter rathayi;;Rathayibacter rathayi ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 80
Rathayibacter;Rathayibacter tritici;;Rathayibacter tritici ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 255
Rhabdochlamydia;Rhabdochlamydia crassificans;;Rhabdochlamydia crassificans ;invertebrate_parasites ;DOI:10.1016/j.syapm.2006.06.001
Rhabdothermus;Rhabdothermus arcticus;;Rhabdothermus arcticus ;sulfur_respiration|aerobic_chemoheterotrophy|nitrate_respiration|respiration_of_sulfur_compounds|nitrate_reduction |nitrogen_respiration|chemoheterotrophy;DOI:10.1099/ijs.0.027839-0| DOI:10.1099/ijs.0.027839-0| DOI:10.1099/ijs.0.027839-0
Rheinheimera;Rheinheimera aquimaris;;Rheinheimera aquimaris ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.64898-0
Rheinheimera;Rheinheimera baltica;;Rheinheimera baltica ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.02151-0
Rheinheimera;Rheinheimera pacifica;;Rheinheimera pacifica ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.02252-0
Rheinheimera;Rheinheimera perlucida;;Rheinheimera perlucida ;aerobic_chemoheterotrophy|nitrate_reduction |chemoheterotrophy;DOI:10.1099/ijs.0.64172-0| DOI:10.1099/ijs.0.64172-0
Rheinheimera;Rheinheimera texasensis;;Rheinheimera texasensis ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.65045-0
Rhizobium;Rhizobium BTAil;;Rhizobium BTAil ;aerobic_anoxygenic_phototrophy|photoheterotrophy|phototrophy|phototrophy;Anoxygenic Photosynthetic Bacteria (1995). Eds: Robert E. Blankenship Michael T. Madigan Carl E. Bauer
Rhizobium;Rhizobium azibense;;Rhizobium azibense ;nitrogen_fixation;DOI:10.1099/ijs.0.058651-0
Rhizobium;Rhizobium etli;;Rhizobium etli ;nitrogen_fixation;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Rhizobium;Rhizobium fredii;;Rhizobium fredii ;nitrate_respiration|nitrate_reduction |nitrogen_respiration;DOI:10.1111/j.1574-6968.1985.tb01008.x
Rhizobium;Rhizobium galegae;;Rhizobium galegae ;nitrogen_fixation|ureolysis;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Rhizobium;Rhizobium gallicum;;Rhizobium gallicum ;nitrogen_fixation;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Rhizobium;Rhizobium giardinii;;Rhizobium giardinii ;nitrogen_fixation;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Rhizobium;Rhizobium hainanense;;Rhizobium hainanense ;nitrogen_fixation;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Rhizobium;Rhizobium hauntlense;;Rhizobium hauntlense ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 4136
Rhizobium;Rhizobium herbae;;Rhizobium herbae ;aerobic_chemoheterotrophy|nitrate_reduction |chemoheterotrophy;DOI:10.1099/ijs.0.024943-0| DOI:10.1099/ijs.0.024943-0
Rhizobium;Rhizobium huautlense;;Rhizobium huautlense ;nitrogen_fixation;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Rhizobium;Rhizobium leguminosarum;;Rhizobium leguminosarum ;nitrogen_fixation;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Rhizobium;Rhizobium leguminosarum;;Rhizobium leguminosarum ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 4138
Rhizobium;Rhizobium mongolense;;Rhizobium mongolense ;nitrogen_fixation;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Rhizobium;Rhizobium tropici;;Rhizobium tropici ;nitrogen_fixation;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Rhizobium;Rhizobium tropici;;Rhizobium tropici ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 4144
Rhizomicrobium;Rhizomicrobium electricum;;Rhizomicrobium electricum ;fermentation|aerobic_chemoheterotrophy|iron_respiration|nitrate_respiration|fumarate_respiration|nitrate_reduction |nitrogen_respiration|chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.023580-0| DOI:10.1099/ijs.0.023580-0| DOI:10.1099/ijs.0.023580-0| DOI:10.1099/ijs.0.023580-0| DOI:10.1099/ijs.0.023580-0
Rhizomicrobium;Rhizomicrobium palustre;;Rhizomicrobium palustre ;fermentation|chemoheterotrophy;DOI:10.2323/jgam.56.193
Rhizomonas;Rhizomonas suberifaciens;;Rhizomonas suberifaciens ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 3629
Rhodanobacter;Rhodanobacter thiooxydans;;Rhodanobacter thiooxydans ;dark_thiosulfate_oxidation|nitrate_reduction |dark_oxidation_of_sulfur_compounds;DOI:10.1099/ijs.0.65086-0| DOI:10.1099/ijs.0.65086-0
Rhodobacter;Rhodobacter azotoformans;;Rhodobacter azotoformans ;nitrate_denitrification|anoxygenic_photoautotrophy_S_oxidizing|anoxygenic_photoautotrophy_S_oxidizing|nitrite_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|anoxygenic_photoautotrophy|anoxygenic_photoautotrophy|photoautotrophy|photoautotrophy|phototrophy|phototrophy|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|photoautotrophy|photoautotrophy|phototrophy|phototrophy|phototrophy|phototrophy|nitrogen_respiration;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2 Table BCII.a.47
Rhodobacter;Rhodobacter blasticus;;Rhodobacter blasticus ;anoxygenic_photoautotrophy_H2_oxidizing|ureolysis|anoxygenic_photoautotrophy|photoautotrophy|phototrophy|photoautotrophy|phototrophy|phototrophy;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Rhodobacter;Rhodobacter capsulatus;;Rhodobacter capsulatus ;nitrogen_fixation|dark_sulfide_oxidation|aerobic_chemoheterotrophy|dark_iron_oxidation|iron_respiration|nitrate_respiration|nitrate_reduction |anoxygenic_photoautotrophy_H2_oxidizing|anoxygenic_photoautotrophy_S_oxidizing|anoxygenic_photoautotrophy_S_oxidizing|aerobic_anoxygenic_phototrophy|photoheterotrophy|dark_oxidation_of_sulfur_compounds|nitrate_reduction |nitrogen_respiration|anoxygenic_photoautotrophy|anoxygenic_photoautotrophy|anoxygenic_photoautotrophy|photoautotrophy|photoautotrophy|photoautotrophy|photoheterotrophy|phototrophy|phototrophy|phototrophy|phototrophy|phototrophy|chemoheterotrophy|photoautotrophy|photoautotrophy|photoautotrophy|phototrophy|phototrophy|phototrophy|phototrophy|phototrophy|phototrophy|phototrophy;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| DOI:10.1128/AEM.67.7.2873–2882.2001| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| DOI:10.1099/mic.0.045344-0| DOI:10.1111/j.1574-6941.2001.tb00768.x|# Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2|# Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C|# Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C|# Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C|# Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2 Table BCII.a.47|# DOI:10.1038/415630a|# Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Rhodobacter;Rhodobacter changlensis;;Rhodobacter changlensis ;aerobic_chemoheterotrophy|photoheterotrophy|phototrophy|chemoheterotrophy;DOI:10.1099/ijs.0.65110-0| DOI:10.1099/ijs.0.65110-0
Rhodobacter;Rhodobacter ferrooxidans;;Rhodobacter ferrooxidans ;anoxygenic_photoautotrophy_Fe_oxidizing|anoxygenic_photoautotrophy|photoautotrophy|phototrophy|photoautotrophy|phototrophy|phototrophy;DOI:10.2138/rmg.2005.59.5
Rhodobacter;Rhodobacter sp.;CR07-8;Rhodobacter sp. CR07-8;manganese_oxidation;DOI:10.1080/01490450902724840
Rhodobacter;Rhodobacter sphaeroides;;Rhodobacter sphaeroides ;nitrogen_fixation|fermentation|aerobic_chemoheterotrophy|anoxygenic_photoautotrophy_H2_oxidizing|anoxygenic_photoautotrophy_S_oxidizing|anoxygenic_photoautotrophy_S_oxidizing|aerobic_anoxygenic_phototrophy|photoheterotrophy|anoxygenic_photoautotrophy|anoxygenic_photoautotrophy|anoxygenic_photoautotrophy|photoautotrophy|photoautotrophy|photoautotrophy|photoheterotrophy|phototrophy|phototrophy|phototrophy|phototrophy|phototrophy|chemoheterotrophy|chemoheterotrophy|photoautotrophy|photoautotrophy|photoautotrophy|phototrophy|phototrophy|phototrophy|phototrophy|phototrophy|phototrophy|phototrophy;DOI:10.1007/s11104-008-9833-8| DOI:10.1146/annurev.micro.61.080706.093402| DOI:10.1146/annurev.micro.61.080706.093402| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C|# Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2 Table BCII.a.47|# Anoxygenic Photosynthetic Bacteria (1995). Eds: Robert E. Blankenship Michael T. Madigan Carl E. Bauer|# DOI:10.1146/annurev.micro.61.080706.093402
Rhodobacter;Rhodobacter veldkampii;;Rhodobacter veldkampii ;anoxygenic_photoautotrophy_S_oxidizing|anoxygenic_photoautotrophy_S_oxidizing|anoxygenic_photoautotrophy|anoxygenic_photoautotrophy|photoautotrophy|photoautotrophy|phototrophy|phototrophy|photoautotrophy|photoautotrophy|phototrophy|phototrophy|phototrophy|phototrophy;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2 Table BCII.a.47
Rhodobium;Rhodobium marinum;;Rhodobium marinum ;fermentation|fermentation|anoxygenic_photoautotrophy_S_oxidizing|ureolysis|anoxygenic_photoautotrophy|photoautotrophy|phototrophy|chemoheterotrophy|chemoheterotrophy|photoautotrophy|phototrophy|phototrophy;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Rhodobium;Rhodobium orientis;;Rhodobium orientis ;nitrate_denitrification|aerobic_chemoheterotrophy|anoxygenic_photoautotrophy_S_oxidizing|photoheterotrophy|nitrite_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|anoxygenic_photoautotrophy|photoautotrophy|phototrophy|phototrophy|chemoheterotrophy|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|photoautotrophy|phototrophy|phototrophy|nitrogen_respiration;DOI:10.1099/00207713-45-2-226  and  Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C| DOI:10.1099/00207713-45-2-226  and  Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C
Rhodoblastus;Rhodoblastus acidophilus;;Rhodoblastus acidophilus ;anoxygenic_photoautotrophy_H2_oxidizing|anoxygenic_photoautotrophy|photoautotrophy|phototrophy|photoautotrophy|phototrophy|phototrophy;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C
Rhodococcus;Rhodococcus aetherivorans;;Rhodococcus aetherivorans ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Rhodococcus;Rhodococcus baikonurensis;;Rhodococcus baikonurensis ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Rhodococcus;Rhodococcus coprophilus;;Rhodococcus coprophilus ;nitrate_reduction |ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Rhodococcus;Rhodococcus erythropolis;;Rhodococcus erythropolis ;ligninolysis|ligninolysis|ureolysis|chemoheterotrophy|chemoheterotrophy;DOI:10.1016/j.copbio.2010.10.009| DOI:10.1111/j.1365-2672.2012.05352.x| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Rhodococcus;Rhodococcus erytropolis;;Rhodococcus erytropolis ;plastic_degradation;DOI:10.1007/s00253-008-1548-5
Rhodococcus;Rhodococcus fascians;;Rhodococcus fascians ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Rhodococcus;Rhodococcus fascians;;Rhodococcus fascians ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 156
Rhodococcus;Rhodococcus globerulus;;Rhodococcus globerulus ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Rhodococcus;Rhodococcus gordoniae;;Rhodococcus gordoniae ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Rhodococcus;Rhodococcus imtechensis;;Rhodococcus imtechensis ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Rhodococcus;Rhodococcus jostii;;Rhodococcus jostii ;ligninolysis|chemoheterotrophy;DOI:10.1039/C1NP00042J
Rhodococcus;Rhodococcus jostii;RHA1;Rhodococcus jostii RHA1;ligninolysis|chemoheterotrophy;DOI:10.1016/j.copbio.2010.10.009
Rhodococcus;Rhodococcus koreensis;;Rhodococcus koreensis ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Rhodococcus;Rhodococcus kroppenstedtii;;Rhodococcus kroppenstedtii ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Rhodococcus;Rhodococcus kyotonensis;;Rhodococcus kyotonensis ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Rhodococcus;Rhodococcus maanshanensis;;Rhodococcus maanshanensis ;nitrate_reduction |ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Rhodococcus;Rhodococcus opacus;;Rhodococcus opacus ;nitrate_reduction |ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Rhodococcus;Rhodococcus percolatus;;Rhodococcus percolatus ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Rhodococcus;Rhodococcus phenolicus;;Rhodococcus phenolicus ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
